                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.6553,                 3.7416,                  4.117,                0.00217,                0.50429,                0.00396,                0.00092,                 3.8609,                  4.211,                 3.9581,                0.07075,                0.00325,                0.00325
                      1,                 3.4049,                 3.4818,                 3.9036,                0.00124,                0.29202,                0.00102,                0.00027,                 3.5023,                 4.1292,                 3.7571,               0.040685,              0.0065182,              0.0065182
                      2,                 3.1572,                 3.3349,                 3.7163,                0.00318,                0.74847,                0.03396,                0.01067,                 2.8799,                 3.6728,                 3.4495,               0.010554,              0.0097203,              0.0097203
                      3,                 2.9352,                 3.2786,                 3.4635,                0.07103,                0.37301,                0.07416,                0.01776,                  2.806,                 5.8654,                 3.3647,               0.009703,               0.009703,               0.009703
                      4,                 2.9044,                 3.2739,                 3.2219,                0.00123,                0.28221,                0.00206,                0.00042,                 5.6506,                 6.1383,                 15.431,               0.009703,               0.009703,               0.009703
                      5,                 2.7697,                 3.1768,                 3.0622,                0.14012,                0.24785,                 0.0906,                0.03013,                 2.6038,                 5.2579,                 2.8394,               0.009604,               0.009604,               0.009604
                      6,                 2.6779,                  3.175,                 2.8771,                0.07802,                0.27607,                0.06648,                0.02211,                 2.5433,                 3.3793,                 2.6351,               0.009505,               0.009505,               0.009505
                      7,                 2.5342,                 3.0656,                 2.7705,                0.11194,                0.10429,                0.04409,                 0.0134,                 2.4514,                 3.8715,                 2.5401,               0.009406,               0.009406,               0.009406
                      8,                 2.4536,                 3.0051,                 2.6808,                0.15063,                0.13252,                0.07943,                0.02577,                 2.4647,                 3.6594,                 2.5735,               0.009307,               0.009307,               0.009307
                      9,                 2.4001,                 2.9748,                  2.599,                0.08932,                0.11397,                 0.0633,                0.02018,                 2.4252,                 2.9527,                 2.4419,               0.009208,               0.009208,               0.009208
                     10,                 2.3115,                 2.8338,                 2.5378,                 0.1592,                0.13374,                0.08562,                0.02548,                  2.267,                 2.9336,                 2.3234,               0.009109,               0.009109,               0.009109
                     11,                 2.2234,                 2.7513,                 2.4693,                0.31146,                0.29325,                0.23197,                 0.0837,                  2.113,                 2.9192,                 2.2045,                0.00901,                0.00901,                0.00901
                     12,                 2.1356,                 2.5806,                 2.3979,                0.45646,                0.35337,                 0.3389,                0.13434,                 2.0126,                 2.4854,                 2.1094,               0.008911,               0.008911,               0.008911
                     13,                 2.0296,                 2.4175,                 2.2342,                 0.5374,                0.37178,                0.42525,                0.19706,                 1.8384,                 2.5617,                 1.9055,               0.008812,               0.008812,               0.008812
                     14,                 1.8855,                 2.2677,                 2.1028,                0.47904,                0.36442,                  0.384,                0.17115,                 1.8843,                 2.3453,                 1.9466,               0.008713,               0.008713,               0.008713
                     15,                 1.7756,                 2.0697,                 2.0274,                0.61885,                0.51398,                0.58122,                0.30594,                 1.6306,                  1.778,                    1.8,               0.008614,               0.008614,               0.008614
                     16,                 1.6805,                 1.9808,                 1.9756,                0.56229,                0.46135,                0.49841,                0.25979,                 1.6202,                 1.9426,                 1.8399,               0.008515,               0.008515,               0.008515
                     17,                 1.6222,                 1.9122,                 1.9182,                0.71978,                0.57991,                0.68977,                0.37411,                 1.4965,                  1.549,                 1.6517,               0.008416,               0.008416,               0.008416
                     18,                 1.5757,                 1.8017,                 1.8695,                0.66069,                0.45767,                0.57499,                 0.2826,                 1.5818,                 1.9257,                 1.7818,               0.008317,               0.008317,               0.008317
                     19,                 1.5184,                 1.7122,                 1.7994,                0.46734,                0.38037,                0.37525,                 0.1669,                  1.884,                  2.215,                 2.0307,               0.008218,               0.008218,               0.008218
                     20,                  1.434,                 1.6109,                 1.7253,                 0.7165,                0.66671,                0.73684,                0.43403,                 1.4005,                 1.5454,                 1.5863,               0.008119,               0.008119,               0.008119
                     21,                 1.4064,                  1.548,                 1.7025,                 0.7993,                0.54847,                0.70594,                0.38487,                 1.5467,                 1.5798,                 1.7003,                0.00802,                0.00802,                0.00802
                     22,                 1.3681,                 1.5574,                 1.6582,                0.76248,                 0.7208,                0.81019,                0.50522,                 1.2587,                 1.2264,                 1.4725,               0.007921,               0.007921,               0.007921
                     23,                 1.2906,                 1.4334,                 1.6036,                0.77637,                 0.7071,                0.80769,                0.52109,                 1.2413,                 1.1756,                 1.4499,               0.007822,               0.007822,               0.007822
                     24,                 1.2917,                  1.414,                 1.5897,                0.71808,                0.68131,                0.76312,                0.48356,                 1.2118,                 1.3179,                 1.4043,               0.007723,               0.007723,               0.007723
                     25,                 1.2857,                 1.4239,                 1.5947,                0.79062,                0.63937,                0.75277,                0.48181,                 1.2155,                 1.3234,                 1.4708,               0.007624,               0.007624,               0.007624
                     26,                 1.2109,                 1.3151,                 1.5303,                0.86486,                0.73865,                0.85523,                0.59592,                 1.0599,                 1.1048,                 1.3411,               0.007525,               0.007525,               0.007525
                     27,                 1.2052,                 1.3176,                  1.502,                0.83557,                0.74196,                0.83303,                0.56102,                 1.1354,                 1.1741,                 1.3699,               0.007426,               0.007426,               0.007426
                     28,                  1.188,                 1.2882,                  1.491,                0.85286,                  0.761,                0.86041,                0.60125,                 1.0536,                  1.073,                 1.3227,               0.007327,               0.007327,               0.007327
                     29,                 1.1558,                  1.248,                 1.4852,                  0.806,                0.76977,                 0.8465,                0.58248,                 1.0444,                 1.2146,                 1.3114,               0.007228,               0.007228,               0.007228
                     30,                 1.1322,                 1.2086,                  1.444,                0.84949,                 0.8033,                0.88659,                0.63602,                 1.0284,                0.92252,                 1.2956,               0.007129,               0.007129,               0.007129
                     31,                 1.1331,                 1.1797,                 1.4665,                0.75167,                0.73538,                0.79634,                0.55775,                 1.0852,                 1.1237,                 1.3484,                0.00703,                0.00703,                0.00703
                     32,                 1.0841,                 1.1326,                 1.4176,                0.83951,                    0.8,                0.87387,                0.62982,                 1.0231,                0.95361,                 1.2981,               0.006931,               0.006931,               0.006931
                     33,                 1.0923,                 1.1383,                 1.4138,                0.88418,                0.83804,                0.91218,                0.67211,                0.95278,                0.82085,                 1.2621,               0.006832,               0.006832,               0.006832
                     34,                 1.0916,                 1.1262,                 1.4123,                0.84325,                0.83804,                0.90335,                 0.6657,                0.95599,                 0.8392,                 1.2422,               0.006733,               0.006733,               0.006733
                     35,                 1.0736,                 1.0967,                 1.4069,                 0.6131,                0.56933,                0.55347,                0.34464,                 1.4421,                 1.6531,                 1.6455,               0.006634,               0.006634,               0.006634
                     36,                 1.0407,                 1.0688,                  1.374,                0.86764,                0.80736,                0.89379,                0.65303,                0.97603,                0.82395,                 1.2974,               0.006535,               0.006535,               0.006535
                     37,                 1.0335,                 1.0803,                 1.3779,                0.89204,                0.84785,                0.92812,                0.70458,                 0.8994,                0.81355,                 1.2017,               0.006436,               0.006436,               0.006436
                     38,                 1.0171,                 1.0242,                 1.3499,                 0.8902,                0.84553,                0.92623,                 0.7017,                0.88416,                0.74261,                 1.1848,               0.006337,               0.006337,               0.006337
                     39,                 1.0168,                0.99814,                  1.359,                0.91492,                0.85521,                0.93383,                0.70181,                0.92408,                0.72355,                 1.2094,               0.006238,               0.006238,               0.006238
                     40,                0.98065,                0.98995,                 1.3602,                0.80516,                 0.6908,                0.78708,                0.51635,                 1.2346,                 1.1457,                 1.4642,               0.006139,               0.006139,               0.006139
                     41,                0.99403,                  1.001,                 1.3527,                0.89879,                0.85767,                0.92658,                0.71705,                0.86188,                0.71418,                 1.1811,                0.00604,                0.00604,                0.00604
                     42,                0.98568,                0.98446,                 1.3444,                0.89372,                0.89448,                0.94096,                0.73172,                0.81837,                0.69536,                 1.1449,               0.005941,               0.005941,               0.005941
                     43,                0.97867,                 0.9902,                 1.3373,                 0.8951,                0.89325,                0.94147,                0.73548,                0.81392,                0.71002,                 1.1399,               0.005842,               0.005842,               0.005842
                     44,                0.92185,                0.93949,                 1.3222,                0.88115,                0.84605,                0.92019,                0.69403,                0.87831,                0.82411,                 1.1883,               0.005743,               0.005743,               0.005743
                     45,                0.91254,                0.89873,                 1.3062,                0.80471,                0.74847,                0.85321,                0.60931,                  1.026,                0.96378,                 1.3333,               0.005644,               0.005644,               0.005644
